2021-11-22 01:23:07 - /root/Documents/Panda/target/bin/detectors.csv does not exist
2021-11-22 01:26:03 - 192.168.1.49 - 52.114.128.203: 0
2021-11-22 01:26:12 - 52.6.243.110 - 192.168.1.49: 0
2021-11-22 01:26:12 - 192.168.1.49 - 185.199.108.133: 0
2021-11-22 01:26:12 - 192.168.1.49 - 185.199.108.154: 0
2021-11-22 01:26:12 - 192.168.1.49 - 185.199.108.154: 0
2021-11-22 01:26:12 - 192.168.1.49 - 52.114.133.49: 0
2021-11-22 01:26:12 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:26:12 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:26:12 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:26:12 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:26:12 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:26:13 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:26:13 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:26:13 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:26:13 - 137.135.83.217 - 192.168.1.147: 0
2021-11-22 01:26:15 - 137.135.83.217 - 192.168.1.134: 0
2021-11-22 01:26:16 - 192.168.1.49 - 23.23.205.118: 0
2021-11-22 01:26:24 - 137.135.83.217 - 192.168.1.132: 0
2021-11-22 01:26:24 - 192.168.1.49 - 167.172.143.139: 0
2021-11-22 01:26:24 - 137.135.83.217 - 192.168.1.121: 0
2021-11-22 01:26:24 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:26:24 - 192.168.1.49 - 172.253.115.188: 0
2021-11-22 01:26:24 - 192.168.1.49 - 140.82.112.25: 0
2021-11-22 01:26:24 - 137.135.83.217 - 192.168.1.146: 0
2021-11-22 01:26:24 - 137.135.83.217 - 192.168.1.100: 0
2021-11-22 01:26:24 - 137.135.83.217 - 192.168.1.127: 0
2021-11-22 01:26:24 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:26:34 - 192.168.1.99 - 192.168.1.243: 1
2021-11-22 01:26:34 - 137.135.83.217 - 192.168.1.137: 0
2021-11-22 01:26:34 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:26:34 - 192.168.1.99 - 192.168.1.115: 1
2021-11-22 01:26:34 - 137.135.83.217 - 192.168.1.123: 0
2021-11-22 01:26:34 - 137.135.83.217 - 192.168.1.103: 0
2021-11-22 01:26:34 - 192.168.1.49 - 34.230.213.36: 0
2021-11-22 01:26:34 - 192.168.1.49 - 52.226.139.121: 0
2021-11-22 01:26:45 - 137.135.83.217 - 192.168.1.110: 0
2021-11-22 01:26:45 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:26:45 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:26:45 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:26:45 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:26:45 - 137.135.83.217 - 192.168.1.130: 0
2021-11-22 01:26:45 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:26:46 - 137.135.83.217 - 192.168.1.122: 0
2021-11-22 01:26:56 - 137.135.83.217 - 192.168.1.132: 0
2021-11-22 01:26:57 - 137.135.83.217 - 192.168.1.146: 0
2021-11-22 01:26:57 - 137.135.83.217 - 192.168.1.116: 0
2021-11-22 01:26:57 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:26:57 - 192.168.1.49 - 20.189.173.7: 0
2021-11-22 01:26:57 - 192.168.1.1 - 224.0.0.2: 0
2021-11-22 01:26:57 - 192.168.1.49 - 239.255.255.250: 0
2021-11-22 01:26:57 - 192.168.1.1 - 224.0.0.22: 0
2021-11-22 01:27:07 - 192.168.1.49 - 224.0.0.252: 0
2021-11-22 01:27:07 - 192.168.1.49 - 230.0.0.1: 0
2021-11-22 01:27:07 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:27:07 - 192.168.1.49 - 52.178.17.3: 0
2021-11-22 01:27:07 - 137.135.83.217 - 192.168.1.148: 0
2021-11-22 01:27:08 - 192.168.1.49 - 204.79.197.222: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.131: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.113: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.141: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.140: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.133: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.138: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.114: 0
2021-11-22 01:27:16 - 137.135.83.217 - 192.168.1.147: 0
2021-11-22 01:27:18 - 137.135.83.217 - 192.168.1.132: 0
2021-11-22 01:27:25 - 137.135.83.217 - 192.168.1.120: 0
2021-11-22 01:27:25 - 192.168.1.49 - 50.112.131.231: 0
2021-11-22 01:27:25 - 137.135.83.217 - 192.168.1.129: 0
2021-11-22 01:27:25 - 137.135.83.217 - 192.168.1.100: 0
2021-11-22 01:27:25 - 137.135.83.217 - 192.168.1.126: 0
2021-11-22 01:27:25 - 137.135.83.217 - 192.168.1.146: 0
2021-11-22 01:27:25 - 137.135.83.217 - 192.168.1.127: 0
2021-11-22 01:27:26 - 137.135.83.217 - 192.168.1.116: 0
2021-11-22 01:27:26 - 137.135.83.217 - 192.168.1.128: 0
2021-11-22 01:27:36 - 137.135.83.217 - 192.168.1.107: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.137: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.125: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.124: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.123: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.103: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.104: 0
2021-11-22 01:27:37 - 137.135.83.217 - 192.168.1.108: 0
