192.168.1.197-64.142.54.12-58039-123-17,192.168.1.197,58039,64.142.54.12,123,17,19/01/1970 08:03:26 PM,90,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,1066666.6666666665,22222.222222222223,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11111.111111111111,11111.111111111111,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,0,8,0,0,0,0,1.645406509762E12,0.0,1.645406509762E12,1.645406509762E12,NeedManualLabel
192.168.1.89-91.189.91.42-34196-443-6,192.168.1.89,34196,91.189.91.42,443,6,19/01/1970 08:03:26 PM,4384,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.3065693430657,2192.0,3033.488091290289,4337.0,47.0,0,0,0,0,0,4337.0,4337.0,0.0,4337.0,4337.0,0,0,0,0,32,64,228.1021897810219,456.2043795620438,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24568,501,0,32,47.0,0.0,47.0,47.0,8.2270325925E11,1.1634781009064543E12,1.645406514163E12,4337.0,NeedManualLabel
192.168.1.89-91.189.91.42-34196-443-6,192.168.1.89,34196,91.189.91.42,443,6,19/01/1970 08:03:26 PM,1,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,2.4E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,64,0,2000000.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,24568,0,0,32,0,0,0,0,1.645406518547E12,0.0,1.645406518547E12,1.645406518547E12,NeedManualLabel
192.168.1.89-91.189.91.43-58200-443-6,192.168.1.89,58200,91.189.91.43,443,6,19/01/1970 08:03:26 PM,4668,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.6735218508998,2334.0,3254.105407020492,4635.0,33.0,0,0,0,0,0,4635.0,4635.0,0.0,4635.0,4635.0,0,0,0,0,32,64,214.22450728363324,428.4490145672665,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24568,501,0,32,33.0,0.0,33.0,33.0,8.22703259527E11,1.1634781008767559E12,1.645406514419E12,4635.0,NeedManualLabel
192.168.1.89-91.189.91.43-58200-443-6,192.168.1.89,58200,91.189.91.43,443,6,19/01/1970 08:03:26 PM,0,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,24568,0,0,32,0,0,0,0,1.645406519088E12,0.0,1.645406519088E12,1.645406519088E12,NeedManualLabel
91.189.91.42-192.168.1.89-443-34196-6,91.189.91.42,443,192.168.1.89,34196,6,19/01/1970 08:03:26 PM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.645406518586E12,0.0,1.645406518586E12,1.645406518586E12,NeedManualLabel
91.189.91.43-192.168.1.89-443-58200-6,91.189.91.43,443,192.168.1.89,58200,6,19/01/1970 08:03:26 PM,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.645406519126E12,0.0,1.645406519126E12,1.645406519126E12,NeedManualLabel
192.168.1.197-192.168.1.89-39967-1883-6,192.168.1.197,39967,192.168.1.89,1883,6,19/01/1970 08:03:26 PM,3,5,5,42.0,10.0,30.0,0.0,8.4,13.145341380123988,4.0,0.0,2.0,2.0,1.7333333333333332E7,3333333.333333333,0.33333333333333337,0.5,1.0,0.0,3.0,0.75,0.5,1.0,0.0,1.0,0.25,0.5,1.0,0.0,1,0,0,0,160,160,1666666.6666666665,1666666.6666666665,0.0,30.0,5.8181818181818175,9.228414618104042,85.16363636363636,0,0,0,5,10,0,0,0,1.0,6.4,8.4,2.0,0,0,0,52,5,26000000,0,4,0,1,2008,509,1,32,0,0,0,0,1.645406520259E12,0.0,1.645406520259E12,1.645406520259E12,NeedManualLabel
192.168.1.89-91.189.92.38-47604-443-6,192.168.1.89,47604,91.189.92.38,443,6,19/01/1970 08:03:26 PM,3355,13,15,3820.0,14636.0,1448.0,0.0,293.8461538461538,509.748605712307,1448.0,0.0,975.7333333333333,648.9625200124831,5501043.219076006,8345.752608047691,124.25925925925927,558.6400790238182,2914.0,0.0,3355.0,279.5833333333333,875.0271121340737,3055.0,0.0,3260.0,232.85714285714286,772.7860542959388,2914.0,0.0,0,0,0,0,424,488,3874.813710879285,4470.938897168406,0.0,1448.0,636.4137931034481,672.7324089774997,452568.89408867,0,2,0,7,27,0,0,0,1.0,659.1428571428571,293.84615384615387,975.7333333333333,0,0,0,18456,17,5663086,0,136,0,522,64240,303,5,32,430.0,0.0,430.0,430.0,8.22703268125E11,1.1634781154700254E12,1.645406533336E12,2914.0,NeedManualLabel
192.168.1.89-91.189.92.38-47604-443-6,192.168.1.89,47604,91.189.92.38,443,6,19/01/1970 08:03:26 PM,0,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,0,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,32,0,0,0,0,1.645406541675E12,0.0,1.645406541675E12,1.645406541675E12,NeedManualLabel
