Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,23,1,1,4164.0,0.0,4164.0,4164.0,4164.0,0.0,0.0,0.0,0.0,0.0,1.8104347826086956E8,86956.52173913043,23.0,0.0,23.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,43478.260869565216,43478.260869565216,0.0,4164.0,2776.0,2404.086520905602,5779632.0,0,0,1,0,1,0,0,0,1.0,4164.0,4164.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,30,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,4.6266666666666664E7,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,33333.333333333336,33333.333333333336,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,1,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,13,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,1.0676923076923078E8,153846.15384615384,13.0,0.0,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,76923.07692307692,76923.07692307692,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,0,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,14,1,1,2776.0,0.0,2776.0,2776.0,2776.0,0.0,0.0,0.0,0.0,0.0,1.982857142857143E8,142857.14285714287,14.0,0.0,14.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,71428.57142857143,71428.57142857143,0.0,2776.0,1850.6666666666665,1602.7243472704013,2568725.3333333335,0,0,1,0,1,0,0,0,1.0,2776.0,2776.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,39,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,3.558974358974359E7,51282.05128205128,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,25641.02564102564,25641.02564102564,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,1,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,14,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,9.914285714285715E7,142857.14285714287,14.0,0.0,14.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,71428.57142857143,71428.57142857143,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,0,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,17,1,1,2776.0,0.0,2776.0,2776.0,2776.0,0.0,0.0,0.0,0.0,0.0,1.632941176470588E8,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,58823.529411764706,58823.529411764706,0.0,2776.0,1850.6666666666665,1602.7243472704013,2568725.3333333335,0,0,1,0,1,0,0,0,1.0,2776.0,2776.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
196.189.186.26-192.168.1.107-443-37516-6,196.189.186.26,443,192.168.1.107,37516,6,03/12/2023 09:36:25 AM,24,1,1,1388.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,5.783333333333333E7,83333.33333333333,24.0,0.0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,41666.666666666664,41666.666666666664,0.0,1388.0,925.3333333333333,801.3621736352006,642181.3333333334,0,0,1,1,1,0,0,0,1.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,274,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-216.58.209.131-58764-443-6,192.168.1.107,58764,216.58.209.131,443,6,03/12/2023 09:36:28 AM,393927,5,3,517.0,1388.0,517.0,0.0,103.4,231.2094288734783,1388.0,0.0,462.6666666666667,801.3621736352006,4835.921376295608,20.308331239036672,56275.28571428571,66991.19855054167,166334.0,61.0,393927.0,98481.75,67924.22998398043,166334.0,4941.0,291524.0,145762.0,60249.740397780966,188365.0,103159.0,0,0,0,0,156,104,12.69270702439792,7.6156242146387525,0.0,1388.0,211.66666666666666,473.102525886303,223826.0,1,2,1,1,6,0,0,0,0.0,238.125,103.4,462.6666666666667,0,0,0,0,0,0,0,0,0,0,64240,261,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
216.58.209.131-192.168.1.107-443-58764-6,216.58.209.131,443,192.168.1.107,58764,6,03/12/2023 09:36:29 AM,18,2,1,2776.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,1.542222222222222E8,166666.66666666666,9.0,12.727922061357855,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,64,20,111111.11111111111,55555.555555555555,0.0,1388.0,1041.0,694.0,481636.0,0,0,1,1,2,0,0,0,0.0,1388.0,1388.0,0.0,0,0,0,0,0,0,0,0,0,0,261,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-216.58.209.131-58764-443-6,192.168.1.107,58764,216.58.209.131,443,6,03/12/2023 09:36:29 AM,69,2,1,0.0,158.0,0.0,0.0,0.0,0.0,158.0,158.0,158.0,0.0,2289855.072463768,43478.260869565216,34.5,37.476659402887016,61.0,8.0,69.0,69.0,0.0,69.0,69.0,0,0,0,0,0,0,0,0,0,40,32,28985.507246376812,14492.753623188406,0.0,158.0,39.5,79.0,6240.999999999999,0,0,2,1,1,0,0,0,0.0,52.666666666666664,0.0,158.0,0,0,0,0,0,0,0,0,0,0,0,261,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
216.58.209.131-192.168.1.107-443-58764-6,216.58.209.131,443,192.168.1.107,58764,6,03/12/2023 09:36:29 AM,101,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19801.980198019803,101.0,0.0,101.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,9900.990099009901,9900.990099009901,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,261,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.107-216.58.209.131-44666-443-6,192.168.1.107,44666,216.58.209.131,443,6,03/12/2023 09:36:35 AM,1530323,14,11,792.0,4966.0,517.0,0.0,56.57142857142857,141.99822007861405,1388.0,0.0,451.45454545454544,627.7192626702423,3762.604365222244,16.336420481166392,63763.45833333333,137151.48288534966,505967.0,0.0,1530323.0,117717.15384615384,209113.4558693941,505998.0,34.0,1024321.0,102432.09999999998,144249.52994604714,367844.0,0.0,0,0,0,0,444,368,9.148395469453181,7.188025011713213,0.0,1388.0,221.46153846153848,456.68336783983983,208559.69846153847,1,3,1,8,23,0,0,0,0.0,230.32,56.57142857142857,451.45454545454544,0,0,0,5758,10,5673,0,0,0,0,64240,265,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
216.58.209.131-192.168.1.107-443-44666-6,216.58.209.131,443,192.168.1.107,44666,6,03/12/2023 09:36:36 AM,13206,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,151.4463122822959,13206.0,0.0,13206.0,13206.0,13206.0,13206.0,0.0,13206.0,13206.0,0,0,0,0,0,0,0,0,0,40,0,151.4463122822959,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
