Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:13:50,90156239,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.726173470923072,0.2218371154546498,4745065.2105263155,1.1254534749861158E7,3.0046207E7,49.0,9.0156239E7,4745065.2105263155,1.1254534749861158E7,3.0046207E7,49.0,0,0,0,0,0,0,0,0,0,-20,0,0.2218371154546498,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,5294.333333333333,2074.8022395720836,7516.0,3407.0,3.0043074666666668E7,3291.0889282019307,3.0046207E7,3.0039645E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:13:50,90148331,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.945756222597177,0.04437131509400878,3.0049443666666668E7,629.779591073999,3.0049929E7,3.0048732E7,9.0148331E7,3.0049443666666668E7,629.779591073999,3.0049929E7,3.0048732E7,0,0,0,0,0,0,0,0,0,-4,0,0.04437131509400878,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0049443666666668E7,629.779591073999,3.0049929E7,3.0048732E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:15:50,90182149,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.71763292090101,0.22177338000672395,4746428.894736842,1.1258449426362006E7,3.00551E7,73.0,9.0182149E7,4746428.894736842,1.1258449426362006E7,3.00551E7,73.0,0,0,0,0,0,0,0,0,0,-20,0,0.22177338000672395,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,5017.333333333333,2445.110290627671,7833.0,3429.0,3.0053238E7,1617.1477978218318,3.00551E7,3.0052185E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:15:50,90178683,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.943755022459132,0.04435638076462039,3.0059561E7,3291.154660601656,3.0062604E7,3.0056068E7,9.0178683E7,3.0059561E7,3291.154660601656,3.0062604E7,3.0056068E7,0,0,0,0,0,0,0,0,0,-4,0,0.04435638076462039,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0059561E7,3291.154660601656,3.0062604E7,3.0056068E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:17:50,90126180,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.73608778270642,0.22191110285601806,4743483.157894736,1.1251815163949994E7,3.0051444E7,48.0,9.012618E7,4743483.157894736,1.1251815163949994E7,3.0051444E7,48.0,0,0,0,0,0,0,0,0,0,-20,0,0.22191110285601806,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,5695.333333333333,2515.7075214208294,8148.0,3121.0,3.0035377666666668E7,13981.284359218696,3.0051444E7,3.0025973E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:17:50,90123136,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.947418429824723,0.044383719625557636,3.0041045333333332E7,13963.53452150756,3.0057134E7,3.0032081E7,9.0123136E7,3.0041045333333332E7,13963.53452150756,3.0057134E7,3.0032081E7,0,0,0,0,0,0,0,0,0,-4,0,0.044383719625557636,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0041045333333332E7,13963.53452150756,3.0057134E7,3.0032081E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:19:50,90140098,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.731496409067585,0.22187683887363868,4744215.684210527,1.1253848858656194E7,3.0056613E7,49.0,9.0140098E7,4744215.684210527,1.1253848858656194E7,3.0056613E7,49.0,0,0,0,0,0,0,0,0,0,-20,0,0.22187683887363868,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,5007.666666666667,2339.0930578609596,7587.0,3024.0,3.0040681666666668E7,13797.226436256431,3.0056613E7,3.0032627E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:19:50,90137169,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.946492506326663,0.04437680974870644,3.0045723E7,13444.376184858857,3.0061064E7,3.0035993E7,9.0137169E7,3.0045723E7,13444.376184858857,3.0061064E7,3.0035993E7,0,0,0,0,0,0,0,0,0,-4,0,0.04437680974870644,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0045723E7,13444.376184858857,3.0061064E7,3.0035993E7,BENIGN
192.168.56.1-255.255.255.255-17500-17500-17,192.168.56.1,17500,255.255.255.255,17500,17,05/09/2017 12:21:51,90162606,20,0,2680.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,29.724074301934,0.22182145001443282,4745400.315789474,1.1256754061482467E7,3.0060869E7,49.0,9.0162606E7,4745400.315789474,1.1256754061482467E7,3.0060869E7,49.0,0,0,0,0,0,0,0,0,0,-20,0,0.22182145001443282,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.7,134.0,0.0,-20,0,0,0,0,0,0,20,2680,0,0,-1,-1,19,-1,3419.6666666666665,180.644217547458,3626.0,3290.0,3.0048394666666668E7,19229.849618063407,3.0060869E7,3.0026249E7,BENIGN
192.168.56.255-192.168.56.1-17500-17500-17,192.168.56.1,17500,192.168.56.255,17500,17,05/09/2017 12:21:51,90159188,4,0,536.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0,5.9450402326161145,0.04436597188519489,3.0053062666666668E7,20574.78965465585,3.0067936E7,3.0029582E7,9.0159188E7,3.0053062666666668E7,20574.78965465585,3.0067936E7,3.0029582E7,0,0,0,0,0,0,0,0,0,-4,0,0.04436597188519489,0.0,134.0,134.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,167.5,134.0,0.0,-4,0,0,0,0,0,0,4,536,0,0,-1,-1,3,-1,0,0,0,0,3.0053062666666668E7,20574.78965465585,3.0067936E7,3.0029582E7,BENIGN
