Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.243.255-131.202.243.5-137-137-17,131.202.243.5,137,131.202.243.255,137,17,10/10/2017 03:28:02,119253132,12,0,600.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,5.031314397679719,0.10062628795359438,1.0841193818181816E7,2.2420934428214155E7,5.6193586E7,739332.0,1.19253132E8,1.0841193818181816E7,2.2420934428214155E7,5.6193586E7,739332.0,0,0,0,0,0,0,0,0,0,-12,0,0.10062628795359438,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,0.0,0,0,0,0,0,0,12,600,0,0,-1,-1,11,-1,3062226.0,1060063.3736565,3811804.0,2312648.0,5.6189738E7,5441.89378801167,5.6193586E7,5.618589E7,BENIGN
131.202.242.189-54.234.213.27-55424-443-6,131.202.242.189,55424,54.234.213.27,443,6,10/10/2017 03:28:03,110034938,25,13,756.0,1495.0,63.0,0.0,30.24,32.12382293563455,739.0,63.0,115.0,187.48866632412742,20.457138804404106,0.34534485764875883,2973917.2432432435,4495945.622218709,9965665.0,24.0,1.10034938E8,4584789.083333334,4892029.873637909,9965665.0,34641.0,1.09993123E8,9166093.583333334,2219855.625385229,1.0001585E7,2495101.0,1,0,0,0,800,416,0.22720056424260449,0.11814429340615433,0.0,739.0,59.33333333333332,115.62742647999204,13369.701754385964,0,1,0,0,1,0,0,0,0.0,60.89473684210526,30.24,115.0,0,0,0,0,0,0,25,756,13,1495,1444,1017,11,32,262437.63636363635,752084.2741612502,2530048.0,34641.0,9737579.909090908,752071.1203890833,9965665.0,7470008.0,BENIGN
131.202.242.194-224.0.0.251-5353-5353-17,131.202.242.194,5353,224.0.0.251,5353,17,10/10/2017 03:28:04,110000057,25,0,28721.0,0.0,1445.0,32.0,1148.84,337.28890682420416,0,0,0,0,261.0998647027974,0.22727260950419326,4583335.708333334,4907440.665482281,1.0002315E7,12.0,1.10000057E8,4583335.708333334,4907440.665482281,1.0002315E7,12.0,0,0,0,0,0,0,0,0,0,-25,0,0.22727260950419326,0.0,32.0,1445.0,1160.230769230769,335.53948294557614,112586.7446153846,0,0,0,0,0,0,0,0,0.0,1206.64,1148.84,0.0,0,0,0,0,0,0,25,28721,0,0,-1,-1,24,-1,272010.72727272724,902100.8070666039,2991947.0,12.0,9727993.181818182,902861.5932279787,1.0002315E7,7005765.0,BENIGN
131.202.242.189-162.125.4.3-39836-443-6,131.202.242.189,39836,162.125.4.3,443,6,10/10/2017 03:28:02,113099484,36,36,19252.0,20067.0,1431.0,0.0,534.7777777777775,582.30370628153,4077.0,0.0,557.4166666666667,1042.1447493373598,347.6496851214635,0.6366076789528058,1592950.4788732398,4630492.490774197,2.2899441E7,9.0,1.13099484E8,3231413.8285714285,6221554.856482802,2.2899441E7,184872.0,1.13066048E8,3230458.5142857144,6235593.638299274,2.2928823E7,155576.0,1,0,0,0,1152,1152,0.3183038394764029,0.3183038394764029,0.0,4077.0,558.2191780821919,838.8282708400012,703632.8679604265,0,1,0,0,1,0,0,0,1.0,565.9722222222222,534.7777777777778,557.4166666666666,0,0,0,0,0,0,36,19252,36,20067,670,256,17,32,3165853.0,1871075.2931311985,4812554.0,1093995.0,1.78368688E7,3562916.04720006,2.2899441E7,1.3028688E7,BENIGN
131.202.242.192-255.255.255.255-17500-17500-17,131.202.242.192,17500,255.255.255.255,17500,17,10/10/2017 03:28:06,90226821,4,0,584.0,0.0,146.0,146.0,146.0,0.0,0,0,0,0,6.472576485876633,0.04433271565668927,3.0075607E7,18217.469829808968,3.0090029E7,3.0055134E7,9.0226821E7,3.0075607E7,18217.469829808968,3.0090029E7,3.0055134E7,0,0,0,0,0,0,0,0,0,-4,0,0.04433271565668927,0.0,146.0,146.0,146.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,182.5,146.0,0.0,0,0,0,0,0,0,4,584,0,0,-1,-1,3,-1,0,0,0,0,3.0075607E7,18217.469829808968,3.0090029E7,3.0055134E7,BENIGN
131.202.242.192-131.202.243.255-17500-17500-17,131.202.242.192,17500,131.202.243.255,17500,17,10/10/2017 03:28:06,90226056,4,0,584.0,0.0,146.0,146.0,146.0,0.0,0,0,0,0,6.472631364935203,0.04433309154065207,3.0075352E7,18214.104726831894,3.0089486E7,3.0054797E7,9.0226056E7,3.0075352E7,18214.104726831894,3.0089486E7,3.0054797E7,0,0,0,0,0,0,0,0,0,-4,0,0.04433309154065207,0.0,146.0,146.0,146.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,182.5,146.0,0.0,0,0,0,0,0,0,4,584,0,0,-1,-1,3,-1,0,0,0,0,3.0075352E7,18214.104726831894,3.0089486E7,3.0054797E7,BENIGN
131.202.242.189-162.125.4.4-48462-443-6,131.202.242.189,48462,162.125.4.4,443,6,10/10/2017 03:28:03,110665433,18,18,20058.0,4583.0,2702.0,0.0,1114.3333333333335,1156.3158025790867,567.0,0.0,254.61111111111114,262.41393858444087,222.66212070032745,0.3253048311842778,3161869.5142857144,6766815.066014477,2.3492303E7,18.0,1.10665433E8,6509731.352941176,8612282.100781579,2.3492303E7,236942.0,1.10628465E8,6507556.764705882,8637100.63913906,2.3524129E7,205002.0,1,0,0,0,576,576,0.1626524155921389,0.1626524155921389,0.0,2702.0,720.8918918918918,947.5057837344372,897767.2102102101,0,1,0,0,1,0,0,0,1.0,740.9166666666666,1114.3333333333333,254.61111111111111,0,0,0,0,0,0,18,20058,18,4583,407,171,8,32,1540008.8333333333,1236701.7018653152,3718487.0,509616.0,1.6786002166666664E7,6360731.275420851,2.3492303E7,5182351.0,BENIGN
131.202.242.189-162.125.4.3-39830-443-6,131.202.242.189,39830,162.125.4.3,443,6,10/10/2017 03:28:05,110179541,34,34,18699.0,28540.0,1431.0,0.0,549.9705882352943,585.3126843855973,3718.0,0.0,839.4117647058822,1370.7508696054379,428.74565977725393,0.6171744716199171,1644470.7611940298,4695732.917317095,2.2046426E7,9.0,1.10179541E8,3338773.9696969693,6297457.490254825,2.2046426E7,175849.0,1.10147128E8,3337791.757575758,6311937.670199674,2.2076167E7,146413.0,1,0,0,0,1088,1088,0.30858723580995856,0.30858723580995856,0.0,3718.0,705.3623188405796,1052.0959608857888,1106905.9109121913,0,1,0,0,1,0,0,0,1.0,715.7352941176471,549.9705882352941,839.4117647058823,0,0,0,0,0,0,34,18699,34,28540,1444,222,16,32,2845081.4,1604562.4693480462,5456565.0,1220382.0,1.7760787E7,2837600.968774767,2.2046426E7,1.4066299E7,BENIGN
131.202.242.189-103.235.46.191-57576-443-6,131.202.242.189,57576,103.235.46.191,443,6,10/10/2017 03:29:55,13088076,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.15281084859226063,1.3088076E7,0.0,1.3088076E7,1.3088076E7,1.3088076E7,1.3088076E7,0.0,1.3088076E7,1.3088076E7,0,0,0,0,0,0,0,0,0,40,0,0.15281084859226063,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,229,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
131.202.242.189-162.125.18.133-39346-443-6,162.125.18.133,443,131.202.242.189,39346,6,10/10/2017 03:28:06,109889871,18,18,4680.0,6552.0,520.0,0.0,260.0,267.5377928223138,728.0,0.0,364.0,374.5529099512393,102.21142219741071,0.3276007121711882,3139710.5999999996,6551189.709657172,2.3303066E7,8.0,1.09889871E8,6464110.05882353,8271831.575274506,2.3303066E7,651.0,1.09853247E8,6461955.705882352,8303188.461836105,2.3339542E7,37204.0,1,0,0,0,576,576,0.1638003560855941,0.1638003560855941,0.0,728.0,317.62162162162167,322.3682634771874,103921.2972972973,0,1,0,0,1,0,0,0,1.0,326.44444444444446,260.0,364.0,0,0,0,0,0,0,18,4680,18,6552,73,610,8,32,2137404.0,1574631.64957094,4103437.0,875912.0,1.86287132E7,2954583.6184479026,2.3303066E7,1.5153128E7,BENIGN
